Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units
2018,Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,8029.0,0.0,370176.0,77.0,96.0,False,3039.84,0.0,378205.0
2018,New Delhi,9651.0,34.81,0.0,10.22,0.0,0.0,0.0,102.33,0.0,48598.0,340.1,0.5,243.02,578.05,343.99,0.0,0.0,0.0,3.54,0.0,85.96,1.58,0.0,56.38,0.0,1529.74,0.0,115455.0,8.87,74256322.0,629.0,814.0,False,61588.09,0.0,74371777.0
2018,Odisha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48861.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6340.0,0.0,187.0,630.0,934.0,False,48861.73,0.0,6527.0
2018,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,49.0,False,2.0,0.0,0.0
2018,Punjab,0.0,2.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2200.0,127.34,0.0,481.27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.95,0.0,57400.78,53797.0,9683.0,0.0,8376312.0,11637.0,13743.0,False,60649.44,0.0,8439792.0
2018,Rajasthan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614.0,9.56,0.0,9.72,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2493.92,0.0,120900.66,0.0,2354.0,0.0,1190913.0,1652.0,2127.0,False,128027.87000000001,0.0,1193267.0
2018,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,481.0,4.0,5.0,False,0.02,0.0,559.0
2018,Tamil Nadu,0.0,1.04,0.0,1.93,0.0,0.0,0.0,24.34,0.0,13684.0,466.93,0.0,0.12,14.65,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,514746.0,3668.0,4594.0,False,14193.26,0.0,514843.0
2018,Telangana,0.0,0.03,0.0,0.24,0.0,0.0,0.0,0.0,0.0,5192.0,0.89,0.0,0.03,0.0,0.0,139.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,694.0,False,5198.200000000001,0.0,139.0
2018,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62232.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177649.0,0.0,275280.0,431.0,629.0,False,62235.12,0.0,452929.0
2018,Uttar Pradesh,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,22308.0,783.0,0.0,102.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0,73.42,0.0,7655.62,17697.0,0.0,0.0,58992.0,8162.0,8395.0,False,30932.879999999997,0.0,76689.0
2018,Uttarakhand,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,800.0,376.02,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,537.94,28115.0,0.0,0.0,117945.0,1064.0,1125.0,False,1726.6399999999999,0.0,146060.0
2018,West Bengal,0.0,197.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,25062.0,12.09,0.0,43.95,0.0,0.0,131.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,24.1,0.0,4739.82,10095.0,2417.0,0.21,13402.0,789.0,1242.0,False,30079.41,0.0,26045.0
2019,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,10931.0,133.0,166.0,False,115.0,0.0,11608.0
2019,Andhra Pradesh,0.0,0.0,0.0,1.04,0.0,0.0,0.0,1.01,0.0,70230.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.92,658.0,811.0,2040.0,False,70722.98,0.0,658.0
2019,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68,0.0,0.0,0.0,0.0,0.0,742.0,137.0,216.0,False,1782.5600000000002,0.0,742.0
2019,Assam,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9965.0,0.0,0.0,25.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,0.0,28.98,0.0,1260.0,0.0,58015.0,58.94,1550628.0,847.0,1267.0,False,11362.66,0.0,1608643.0
2019,Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8515.0,52.8,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,1573.0,0.0,1282.0,0.0,20.0,227.0,345.0,False,10152.06,0.0,1302.0
2019,Chandigarh,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.01,0.0,332.0,87.19,0.08,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,45.02,0.0,1471.0,0.0,600.0,0.0,146188.0,249.0,288.0,False,1939.27,0.0,146788.0
2019,Chhattisgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22013.0,0.23,0.0,24.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,20947.0,0.0,98850.0,671.0,963.0,False,22048.35,0.0,119797.0
